web-scraper-order,web-scraper-start-url,detail,prix,address,image_liens
"1708631781-1","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=50","","","APPARTEMENTS À LOUER",""
"1708631793-2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=49","","","APPARTEMENTS À LOUER",""
"1708631799-3","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=48","","","APPARTEMENTS À LOUER",""
"1708631808-4","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=47","","","APPARTEMENTS À LOUER",""
"1708631812-5","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=46","","","APPARTEMENTS À LOUER",""
"1708631816-6","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=45","","","APPARTEMENTS À LOUER",""
"1708631819-7","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=44","","","APPARTEMENTS À LOUER",""
"1708631822-8","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=43","","","APPARTEMENTS À LOUER",""
"1708631825-9","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=42","","","APPARTEMENTS À LOUER",""
"1708631828-10","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=41","","","APPARTEMENTS À LOUER",""
"1708631831-11","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=40","","","APPARTEMENTS À LOUER",""
"1708631834-12","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=39","","","APPARTEMENTS À LOUER",""
"1708631837-13","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=38","","","APPARTEMENTS À LOUER",""
"1708631841-14","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=37","","","APPARTEMENTS À LOUER",""
"1708631844-15","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=36","","","APPARTEMENTS À LOUER",""
"1708631847-16","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=35","","","APPARTEMENTS À LOUER",""
"1708631851-17","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=34","","","APPARTEMENTS À LOUER",""
"1708631855-18","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=33","","","APPARTEMENTS À LOUER",""
"1708631859-19","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=32","","","APPARTEMENTS À LOUER",""
"1708631862-20","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=31","","","APPARTEMENTS À LOUER",""
"1708631864-21","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=30","","","APPARTEMENTS À LOUER",""
"1708631868-22","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=29","","","APPARTEMENTS À LOUER",""
"1708631871-23","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=28","","","APPARTEMENTS À LOUER",""
"1708631874-24","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=27","225 000 FCFA
                         Appartement à liberté 6 au 2ème étage
                        Plateau
                      

                      
                        
                          
						  


 
    Téléphone
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","",""
"1708631874-25","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=27","1 300 000 FCFA
                        Appartement à la place de l'indépendance
                        Plateau
                      

                      
                        
                          
						  


 
    Téléphone
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","",""
"1708631874-26","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=27","40 000 FCFA
                        Chambre à louer à fass
                        Plateau
                      

                      
                        
                          
						  


 
    Téléphone
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","",""
"1708631874-27","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=27","2 700 000 FCFA
                         Appartement à louer à mermoz
                        Plateau
                      

                      
                        
                          
						  


 
    Téléphone
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","",""
"1708631874-28","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=27","","225 000 FCFA","",""
"1708631874-29","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=27","","1 300 000 FCFA","",""
"1708631874-30","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=27","","40 000 FCFA","",""
"1708631874-31","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=27","","2 700 000 FCFA","",""
"1708631874-32","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=27","","","APPARTEMENTS À LOUER",""
