detail,prix,adresse,image_lien
0,APPARTEMENT F3,1500000,Ouakam, media/annonces/pics/thumbs/508da3106273c8af37a2f96107d482d8.jpeg 
1,Appartement F3 à louer aux mamelles monument,350000,Mamelles, media/annonces/pics/thumbs/10be49b9ffd2038d0d2329909a1ecac0.jpg 
2,Très joli duplex de 3,1300000,Ngor, media/annonces/pics/thumbs/8fecf587d3f5c77656b7c642c4a68f0c.jpeg 
3,UN JOLI APPARTEMENT À LOUER,1200000,Cité Keur Gorgui, media/annonces/pics/thumbs/27434e125ebda72e06c7838770c4e883.jpg 
4,UN JOLI APPARTEMENT À LOUER,325000,Ngor, media/annonces/pics/thumbs/e382a7085b035b1b7ef9a1e90b08bf69.jpg 
5,Studio neuf ( cité mourtada),250000,Ouest Foire, media/annonces/pics/thumbs/818ffbb7bdce4241a2e278360642f9e5.png 
6,Duplex,3000000,Almadies, media/annonces/pics/thumbs/a106bd7843da943cfacd4b26f7ffbb16.jpg 
7,HOTEL-RESIDENCE LES MAMELLES,45000,Mamelles, media/annonces/pics/thumbs/762a5c0b3857d0f4022a1626a77321ee.jpg 
8,F4 A LOUER AUX ALMADIES ZONE DE RECASEMENT,450000,Almadies, media/annonces/pics/thumbs/26364e78aabbb34eb8cd99aa7e8ba3a6.jpg 
9,F1 A LOUER A DIAMNIADIO,90000,Diamniadio, media/annonces/pics/thumbs/94f83d2245188dfab18043a830237dbd.jpg 
10,F4 A LOUER A LA CITE APIX,300000,Rufisque, media/annonces/pics/thumbs/d7f4ce4c39417952731b714abaaa3ecd.jpg 
11,F3 A LOUER AUX ALMADIES,400000,Almadies, media/annonces/pics/thumbs/4bfdca728e7211e9292526289c4049a5.jpg 
12,F2 A LOUER A LA ZONE DE RECASEMENT ALMADIES,250000,Almadies, media/annonces/pics/thumbs/7f5bdc56752cf9109cd5a4fb6fa7dde4.jpg 
13,UN BEL APPARTEMENT À LOUER,400000,Sacré Coeur, media/annonces/pics/thumbs/fbc95f0687c99d5d91968ce4a2dd22c5.jpg 
14,APPARTEMENT,650000,VDN, media/annonces/pics/thumbs/c47dd88c8c5252a24dd0fbd85ca74b17.jpg 
15,APPARTEMENT,300000,Sipres, media/annonces/pics/thumbs/d38be7f95a5988e115cb7a839fc0394e.jpg 
16,Appartement F4 à louer aux Almadies,500000,Almadies, media/annonces/pics/thumbs/67d9e96b5799301a9cffe0df6c42d2b0.jpg 
17,Appartement F4 neuf à louer à yoff,450000,Yoff, media/annonces/pics/thumbs/ea91689b67f781d89da216fc09acc396.jpg 
18,Appartement F4  à louer à mbao,180000,Mbao, media/annonces/pics/thumbs/add7d428e195fdb31e5f880b9a34b365.jpg 
19,Appartement F3 standing à louer aux ouakam,280000,Ouakam, media/annonces/pics/thumbs/66f5390585dfff1942207727b9e33914.jpg 
20,Appartement meublé disponible aux mamelles,40000,-, media/annonces/pics/thumbs/07d2ccb297778f4a9a61e456cd57497a.jpeg 
21,DUPLEX,1000000,Mermoz, media/annonces/pics/thumbs/8e2454f53f664de61102cafdb394697c.jpg 
22,Studio meublé disponible aux virages,35000,Virage, media/annonces/pics/thumbs/a5fcb471a18a773736c224a072dbdcdb.jpeg 
23,Mini studios meublés entièrement équipés,25000,Liberté 6, media/annonces/pics/thumbs/783516a8812c57b39f5ecf882d492a65.jpeg 
24,Appartement a louer,250000,Ouest Foire, media/annonces/pics/thumbs/6d79d5f5e9c810c58a16995d7cb4eafd.jpeg 
25,APPARTEMENT,300000,Mamelles, media/annonces/pics/thumbs/91f02137ac9bcd6deb9ec9aa0546b885.jpg 
26,Appartement meublé,55000,Cité Keur Gorgui, media/annonces/pics/thumbs/36c9e5fcb0bb1a0873ad8325c47b51d1.jpeg 
27,Appartement meublé disponible aux Almadies,60000,Almadies, media/annonces/pics/thumbs/8e282446de88e5c0dd86db9896dceb6f.jpeg 
28,Appartement meublé haut standing,70000,Almadies, media/annonces/pics/thumbs/f7acc79ce0177ab186d725b045825426.jpeg 
29,Appartement F3 à louer à Yoff Aéroport,300000,Yoff, media/annonces/pics/thumbs/921931c0f326e97eaa637dabbaf6f31e.jpg 
30,Appartement F4 à louer sur la corniche ouest de ouakam,400000,Ouakam, media/annonces/pics/thumbs/0bc6264953725c3caf10bfdcaf7fdaf7.jpg 
31,APPARTEMENTS STANDING TOUT NEUF À LOUER,180000,, media/annonces/pics/thumbs/312265177f50ae52d1f10ba3eeead6f6.jpg 
32,Appartement F4 à louer zac mbao,300000,Dakar, media/annonces/pics/thumbs/014df8359c9e1063ac3e11d8ff76c95e.jpeg 
33,Duplexe à louer almadie 2,30000,Mbao, media/annonces/pics/thumbs/7b5c451146c5fa9a875407a042603b99.jpeg 
34,Studio meublé disponible,400000,Mbao, media/annonces/pics/thumbs/fe03aaab898eb0f26535b60c11770e5a.jpeg 
35,APPARTEMENT À LOUER LIBERTÉ 6 EXTENSION,1600000,Cité Batrain, media/annonces/pics/thumbs/1bb001c53ee86ce5d1dc565e9af6b09a.jpeg 
36,Appartement meublé climatisé situé au cœur du plateau de Dakar,300000,Liberté 6, media/annonces/pics/thumbs/f86d01b9f876b172101cdaba8b7a7010.jpeg 
37,APPARTEMENT TOUT NEUF EN FINITION,1500000,Amitié, media/annonces/pics/thumbs/37163c631df9d722f490ab3b0490e628.jpg 
38,DES APPARTEMENTS A LOUER AUX ALMADIE,9,Ngor, media/annonces/pics/thumbs/bea151c28d3e9b3f8a725eb35cdbc479.jpg 
39,BEL APPARTEMENT STANDING À LOUER,60000,Almadies, media/annonces/pics/thumbs/27b8adf62fc5303a707e3a9323502655.jpg 
40,Studio meublé,200000,Point E, media/annonces/pics/thumbs/c141c6f905d4f1d024b838925862f8f4.jpeg 
41,TRÈS BEL APPARTEMENT STANDING À LOUER,0,Dakar, media/annonces/pics/thumbs/08f9e88d00a4066ab0e9fb5a7f1b13cb.jpg 
42,-,0,Rufisque,-
43,Studio meublé disponible à la zone B,30000,Zone B, media/annonces/pics/thumbs/7946c17e1824cbd63f09c26414c1fb76.jpeg 
44,Loue magnifique appartement,50000,Dakar, media/annonces/pics/thumbs/73a50ee9f0a55b618bba8f3011b55686.jpeg 
45,Appartement meublé lumineux,55000,Dakar, media/annonces/pics/thumbs/2e2d986561b32a6a2731e1bd0693b92f.jpeg 
46,appartement à louer,1500000,Ouakam, media/annonces/pics/thumbs/1e298eceb21c425b3bca94ef0250504e.jpeg 
47,APPARTEMENT F4 A LOUER AUX ALMADIES,900000,Almadies, media/annonces/pics/thumbs/14e245833ef41509a87dfd144a281737.jpeg 
48,Appartement 3 chambre salon ( sacree coeur ),390000,Sacré Coeur, media/annonces/pics/thumbs/4963420b7bfc803dff83f621bb7d668e.jpeg 
49,Appart standing 3 chambre  piscine (Virage ),1800000,Virage, media/annonces/pics/thumbs/803033145824791586ee01b14e49bb6e.png 
50,Studio meublé disponible à cité biagui,35000,Biagui, media/annonces/pics/thumbs/5a1b76688043189aa796b7ae64749a60.jpeg 
51,studio à louer,250000,Mamelles, media/annonces/pics/thumbs/58f365d6942bdf86bcf077bbb05f9a96.jpeg 
52,appartement à louer,1500000,Zone B, media/annonces/pics/thumbs/f1c87b01fbe302f296c7d63d85fa97b8.jpeg 
53,Appartement à louer à Tivaoune Peulh,150000,Keur Massar, media/annonces/pics/thumbs/c4734e580d85418fb634081a19ec407f.jpeg 
54,Luxueux Penthouse,120000,Dakar, media/annonces/pics/thumbs/9ca269f4f45d38eaf6a0d0fced21a936.jpeg 
55,appartement à louer,300000,Maristes, media/annonces/pics/thumbs/5e6d66fabfa3144a779dc41ba46e8862.jpeg 
56,appartement à louer,600000,Ouakam, media/annonces/pics/thumbs/f6c66a9fc0f6e9f69fa039651c54746b.jpeg 
57,Appartement F4 à louer mamelles cité cheikh Amar,900000,Mamelles, media/annonces/pics/thumbs/4b4e731a25c721bc2bcf93b89440ec2b.jpg 
58,studio à louer,250000,Ouakam, media/annonces/pics/thumbs/4d8bf9a73f5b792faad9bec574b0b41c.jpeg 
59,Appartement 2ch salon Cite Soprim,250000,Patte d'Oie, media/annonces/pics/thumbs/c0a144dae30dd2811c7e142151a1925b.jpeg 
60,DE BEAUX APPARTEMENTS TOUS NEUFS,1,Dakar, media/annonces/pics/thumbs/4fd3d1c0724bb9147c18334e4e5f951c.jpg 
61,Studio à Cité Damel,225000,Nord Foire, media/annonces/pics/thumbs/06c0dc8ed726a9898642fc3dd0525732.jpeg 
62,Appartement 2ch salon Cité Damel,275000,Nord Foire, media/annonces/pics/thumbs/55edf158720f8e61f52dd748b674f18f.jpeg 
63,appartement à louer,600000,Virage, media/annonces/pics/thumbs/3b0567e9338cbbedfaf7b5cd23de1571.png 
64,Appartement 2ch salon Scat Urbam,275000,Scat Urbam, media/annonces/pics/thumbs/a826f5227d056a088b2794b81fb1ce81.jpeg 
65,Appartement meublé,50000,Cité Keur Gorgui, media/annonces/pics/thumbs/b3b05c2e7c6ebc31a6902e06005fc1b6.jpeg 
66,Studio séparé 2 toilette,200000,, media/annonces/pics/thumbs/adb0dfd36d47e3a8a02cd610f7c37120.jpg 
67,Studio à louer,700000,Nord Foire, media/annonces/pics/thumbs/13bc8d0f26fc6b25d2a7d7122c371e6a.jpeg 
68,Apparemment en Duplex 3 chambres,500000,Ouest Foire, media/annonces/pics/thumbs/12f77af938c4e025a93dad1038033dc3.jpg 
69,TRÈS BEL APPARTEMENT À LOUER,500000,Almadies, media/annonces/pics/thumbs/ba8a23642fdfc6ccc3a7281e48fc59a7.jpg 
70,appartement à louer,2000000,Biagui, media/annonces/pics/thumbs/e901745cd2142ffe5a77797fb01f99c1.jpeg 
71,appartement à louer,1500000,Biagui, media/annonces/pics/thumbs/f1fb2469c9e177bb2570c1f1b965b238.jpeg 
72,appartement à louer,40000,Almadies, media/annonces/pics/thumbs/a836d64808f4f481a6de35b191db6ade.jpeg 
73,Appartement meublé,400000,Biagui, media/annonces/pics/thumbs/1de69a8f52bc96cc3ac493d5548ab04c.jpeg 
74,Appartement à louer,500000,Liberté 6, media/annonces/pics/thumbs/bb9fa823b00df2524732ebeeabc5e7b0.png 
75,Bel appartement à louer,270000,Almadies, media/annonces/pics/thumbs/f08d49cd5f657b597530cf2428a3bf0a.png 
76,Appartement 3 pièces à keur yoff,500000,Ouakam, media/annonces/pics/thumbs/3b4cb596e04d21d20f3509e82671c366.jpg 
77,Bel appartement à louer,50000,Nord Foire, media/annonces/pics/thumbs/c782d1c1f6b816bf18b5f0703044eb88.png 
78,bel appartement à louer,500000,Cité Keur Gorgui, media/annonces/pics/thumbs/a4303a958aec3af12105eda7a10cedb0.jpeg 
79,appartement à louer,500000,VDN, media/annonces/pics/thumbs/ddb68d192bb5c3115cf3337b18f48501.jpeg 
80,appartement à louer,500000,Mamelles, media/annonces/pics/thumbs/45020dd2b5fd7da8c95be5e9a2e36c43.jpeg 
81,bel appartement à louer,250000,VDN, media/annonces/pics/thumbs/3bb1ae741a1dde0e9e08201c73f5bd98.png 
82,appartement a louer,500000,Cité Keur Gorgui, media/annonces/pics/thumbs/9e88ef1593ada17a6844474f40a350fa.jpeg 
83,appartement a louer,225000,VDN, media/annonces/pics/thumbs/4b7fb74ab1c9124aac0eb7be48d3e31c.jpeg 
84,Appartement F3 à louer aux maristes,0,VDN, media/annonces/pics/thumbs/a774a827fbde1b5023881933d77730f4.jpg 
85,-,0,Hann Maristes,-
