detail,prix,adresse,image_lien
0,F2/F3 A VENDRE A LA MEDINA,50000000,Médina, media/annonces/pics/thumbs/f831718c3de54172e50df573703439c5.jpg 
1,F3 A VENDRE A LIBERTE 6 EXTENSION,68000000,Liberté 6, media/annonces/pics/thumbs/4dcbd5b5ff554d936e4533a3f510db92.jpg 
2,Appartement haut standing aux Almadies,134400000,Almadies, media/annonces/pics/thumbs/73243843623f8124803b24027fdac45f.jpg 
3,Appartements neufs à SD CITY,40000000,Diamniadio, media/annonces/pics/thumbs/14815983c187cf845aeccffab210ec30.jpg 
4,F3  neuf au Almadies,85000000,Almadies, media/annonces/pics/thumbs/621e407f3253b17dd0a56ac259f1d207.jpeg 
5,Appartement à vendre,350000000,Mermoz, media/annonces/pics/thumbs/dc214029fcd9aef3d1e93b6387e0f77c.jpg 
6,Appartement à vendre,900000000,Liberté 6, media/annonces/pics/thumbs/df7106a2d5b9bd040272b7b51f555c84.jpg 
7,appartement à vendre,30000000,Ouakam, media/annonces/pics/thumbs/65ae5e05e9e9256837c2dd9ee52466a9.jpeg 
8,Appartement F4 à vendre Mermoz Dakar Sénégal,110000000,Mermoz, media/annonces/pics/thumbs/cdb617872afff0e03d2d73cb889544ed.jpg 
9,Studios neufs aux Almadies,48000000,Almadies, media/annonces/pics/thumbs/7af086ea9bbec4c5b6ad23b8ba2c54e9.jpg 
10,Luxueux F4 haut standing,134400000,Almadies, media/annonces/pics/thumbs/c305a897ffc56cdcb61f974306b2c536.jpeg 
11,appartement à vendre,110000000,Virage, media/annonces/pics/thumbs/374f17f4592c30e0a1f34787e3e394e2.jpeg 
12,STUDIO F2 54m2 à vendre aux Almadies,48000000,Almadies, media/annonces/pics/thumbs/63c10e719d3ee20734fe3685ab91b2a4.jpeg 
13,STUDIO F2 54m2 à vendre aux Almadies,48000000,Almadies, media/annonces/pics/thumbs/ee151f96407d3576a035a59dde45f181.jpeg 
14,Studios neufs aux Almadies,48000000,Almadies, media/annonces/pics/thumbs/0a8de35a50adb5cea92bf228303cbd4d.jpg 
15,Penthouse à vendre,265000000,Point E, media/annonces/pics/thumbs/0f545edf29b5eb90ba0b206c4cc8626f.jpeg 
16,Appartement à vendre,190000000,Pyrotechnie, media/annonces/pics/thumbs/8eb480979ca40f9d3b577e435b2139ee.jpg 
17,Appartement à vendre,65000000,Point E, media/annonces/pics/thumbs/94bbf0528d1996e12ff0e3660d50ade9.jpeg 
18,Appartement F4 à vendre kalia almadie 2,35000000,Mbao, media/annonces/pics/thumbs/a544426e5cdf2599ca47e12823ad5744.jpg 
19,Appartement à vendre,75000000,Maristes, media/annonces/pics/thumbs/6db9ca5dcce290008599d275b45f7dab.jpeg 
20,Appartement à vendre,75000000,Maristes, media/annonces/pics/thumbs/2445b940a0faa840b58f2ed29878d4f4.jpeg 
21,Appartement haut standing aux Almadies,175000000,Almadies, media/annonces/pics/thumbs/da7413c82738b8437f16750ad02d20e7.jpg 
22,Studios High Standing aux Almadies,52000000,Almadies, media/annonces/pics/thumbs/9261917706793c7f6d297e92560756d6.jpg 
23,Luxueux F4 neuf vue sur mer,145,Almadies, media/annonces/pics/thumbs/4ad7f5e20dffdab9b77bc2957667177f.jpg 
24,superbe F4 grand standing neuf,110400000,Almadies, media/annonces/pics/thumbs/b5d4f17d0b04c9bc53e58e887145656f.jpeg 
25,luxueux F4 Ngor Almadies,175000000,Almadies, media/annonces/pics/thumbs/1095810d2a3489a71e3da5c61ff6ff37.jpeg 
26,Appartement à vendre,45000000,Ouakam, media/annonces/pics/thumbs/0d9628a57cdf57bdf2076fcfac1e9cc2.jpeg 
27,F4 grand Standing Almadies,175000000,Almadies, media/annonces/pics/thumbs/5fcda430a0e830ee5cc0f78cace7533e.jpg 
28,APPARTEMENT DE TYPE F5 223M² A VENDRE AU VIRAGE,175000000,Virage, media/annonces/pics/thumbs/4baf510e2f0e9d0558d76a52994112a5.jpg 
29,Appartement studio neuf haut standing aux Almadies,45200000,Almadies, media/annonces/pics/thumbs/e6aa75f4e8990437583d24a7c077ee8c.jpg 
30,Appartement haut standing aux Almadies,140400000,Almadies, media/annonces/pics/thumbs/db25f2bca66e94e882ac2d8dbedaa4c2.jpg 
31,Appartements F3 neufs haut standing aux Almadies,88400000,Almadies, media/annonces/pics/thumbs/acff9a7acd45ca648d9918b214390be4.jpg 
32,APPARTEMENT À VENDRE,106000000,Sud Foire, media/annonces/pics/thumbs/dfb0f8367f9aa6b42fe5fdcf1022b650.jpg 
33,Studios neufs aux Almadies,50000000,Almadies, media/annonces/pics/thumbs/37221a0a77a4587f58a49c95ca834eb5.jpg 
34,Appartement à vendre,45000000,Ouakam, media/annonces/pics/thumbs/ce31e30a183eb938f166e73be27af166.jpeg 
