detail,prix,adresse,image_lien
0,"Terrain de 2,18 Hectares vers Tassette",10600000,Thiès, media/annonces/pics/thumbs/d02f7a7330f9ff13fd36fce35d46a4f4.jpeg 
1,Terrain 300 mètres carrés à Saly,15000000,Saly, media/annonces/pics/thumbs/240e9274cd5024fe04fe478cb046b738.jpg 
2,"Terrain de 1,02 hectare à Sésséne",6200000,Thiès, media/annonces/pics/thumbs/e32d706598aced7e3470a73b978b57be.jpeg 
3,Terrain 10000 mètres carrés à Nguérigne,300000000,Mbour, media/annonces/pics/thumbs/60863c3ce766b1c8280a093753e6fd86.jpg 
4,Terrain 4000 mètres carrés à Nguérigne,128000000,Thiès, media/annonces/pics/thumbs/0ec7f9a0a044335dd02bbd289f9bec8c.jpg 
5,Terrain 6000 mètres carrés à Ngaparou,222000000,Mbour, media/annonces/pics/thumbs/387453e70f887efbac63577e7b67289a.jpg 
6,Terrain de 1 hectare à Darou Khoudoss,4900000,Thiès, media/annonces/pics/thumbs/75197b9eee69a8202ff4c80cbf727233.jpeg 
7,"Verger de 1,86 Hectare à Tassette",6200000,Thiès, media/annonces/pics/thumbs/a73a64a6a6ea134a8cba068e2e0e9750.jpeg 
8,Terrain de 2 hectares à Thiénaba,9200000,Thiès, media/annonces/pics/thumbs/ed7ec1a7495ba6fc53c7ec20a118a8ef.jpeg 
9,"Terrain de 1,07 hectare à Ndiaganiao",4850000,Mbour, media/annonces/pics/thumbs/117b354e4bdddf5ed1558a8c553ba0e1.jpeg 
10,"Verger Agricole de 1,22 hectare à Notto Diobass",27500000,, media/annonces/pics/thumbs/916f074b3d322cec4d751de3dae9d38a.jpeg 
11,Verger de 8 286 m² à Diender,4850000,Thiès, media/annonces/pics/thumbs/81ba00a8a309d69130da1ba6e4c9f80a.jpeg 
12,"Terrain de 1,07 hectare à Ndiaganiao",42000000,Thiès, media/annonces/pics/thumbs/8c5fdf0eeb5b5f853cf5c95c2c042527.jpeg 
13,Terrain 600 mètres carrés à Saly,15000000,Thiès, media/annonces/pics/thumbs/afbe8420d8c9cfd2c3fca2b91f806bf0.jpg 
14,Terrain 300 mètres carrés à Saly,95000000,Saly, media/annonces/pics/thumbs/3f14e6aa6ab7a3c567ebc57f563f3583.jpg 
15,TERRAIN,13000000,Saly, media/annonces/pics/thumbs/b0e8abdc1b5b1911e459af49e9c33f54.jpg 
16,Terrain 300 mètres carrés à Saly,13000000,Almadies, media/annonces/pics/thumbs/27354459b5a5cd40612767fd4815ba92.jpg 
17,Terrain 300 mètres carrés à Saly,12500000,Saly, media/annonces/pics/thumbs/2eb0218e78eacc262d3fbf9774c40e89.jpg 
18,TERRAINS A VENDRE A NDIAKHIRATE,2000000,Saly, media/annonces/pics/thumbs/2b32852dde95233fb577c8a38cf0c29a.jpg 
19,TERRAINS A VENDRE A THIES,28000000,Rufisque, media/annonces/pics/thumbs/a6163905567f22247ccdff19d20bc9f2.jpeg 
20,Terrain 800 mètres carrés à Ndiorokh,800000,Thiès, media/annonces/pics/thumbs/6724451e13c3662a1b81249940445873.jpg 
21,300 terrains 225m2 Diass Landou coté peage,5500000,Mbour, media/annonces/pics/thumbs/89e84b6f7a457fceee8eb75ae4c4a337.jpg 
22,Terrains 150m2 ndayane sur la Route,4500000,Mbour, media/annonces/pics/thumbs/3416fcd9388beb48b5f21e7d50303095.jpg 
23,Terrain Tivaoun peul coté terminus 69,27000000,Ngaparou, media/annonces/pics/thumbs/7d32fa9afb1df8021296b4cb0e7635b7.jpg 
24,Terrain au rond point Gadaye,6000000,Keur Massar, media/annonces/pics/thumbs/0b3ab0270cae8e2626d475349ec61119.jpeg 
25,Terrain à Niague,800000,VDN, media/annonces/pics/thumbs/62d453dd961bafc94128415c9b7ff04b.jpeg 
