web-scraper-order,web-scraper-start-url,details,prix,address,image_lien,image_lien-href
"1708633251-1","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=50","","","TERRAINS À VENDRE","",""
"1708633254-2","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=49","","","TERRAINS À VENDRE","",""
"1708633258-3","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=48","","","TERRAINS À VENDRE","",""
"1708633261-4","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=47","","","TERRAINS À VENDRE","",""
"1708633265-5","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=46","","","TERRAINS À VENDRE","",""
"1708633268-6","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=45","","","TERRAINS À VENDRE","",""
"1708633272-7","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=44","3 500 000 FCFA
                        Keur massar - terrain
                        Plateau
                      

                      
                        
                          
						  


 
    Téléphone
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633272-8","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=44","","3 500 000 FCFA","","",""
"1708633272-9","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=44","","","TERRAINS À VENDRE","",""
"1708633272-10","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=44","","","","","https://www.dakarvente.com/annonce-38-keur-massar-terrain.html"
"1708633292-11","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","7 500 000 FCFA
                        TERRAIN 150m2 TITRE FONCIER KOUNOUNE
                        Rufisque
                      

                      
                        
                          
						  


 
    775067090","","","",""
"1708633292-12","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","1 300 000 FCFA
                        Terrains 225m2 à Yenn vue sur mer et Aéroport AIBD
                        Rufisque
                      

                      
                        
                          
						  


 
    775067090","","","",""
"1708633292-13","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","30 000 000 FCFA
                         Verger de 1 hectar a vendre à bayakhe
                        Mbour
                      

                      
                        
                          
						  


 
    Téléphone
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-14","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","35 000 000 FCFA
                         Ouakam - terrain
                        Plateau
                      

                      
                        
                          
						  


 
    Téléphone
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-15","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","2 700 000 FCFA
                        Terrains Bambilor, Kounoune, Sendou, Keur Moussa
                        Plateau
                      

                      
                        
                          
						  


 
    775067090","","","",""
"1708633292-16","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","60 000 000 FCFA
                         Verger 07 ha vers tivaouane
                        Plateau
                      

                      
                        
                          
						  


 
    Téléphone
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-17","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","4 000 000 FCFA
                        Terrain
                        Plateau
                      

                      
                        
                          
						  


 
    773092976
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
